Seq_ID	Species
CFL12171_22	Cyclospora cayetanensis
CGA10131_22	Cyclospora cayetanensis
STX10331_22	Cyclospora cayetanensis
STX10391_22	Cyclospora cayetanensis
STX10431_22	Cyclospora cayetanensis
STX10191_22	Cyclospora cayetanensis
STX10261_22	Cyclospora cayetanensis
STX10271_22	Cyclospora cayetanensis
STX10291_22	Cyclospora cayetanensis
STX10171_22	Cyclospora cayetanensis
STX10301_22	Cyclospora cayetanensis
STX10531_22	Cyclospora cayetanensis
CIA11031_20	Cyclospora cayetanensis
CKS10031_20	Cyclospora cayetanensis
CKS10071_20	Cyclospora cayetanensis
CKS10081_20	Cyclospora cayetanensis
CMO10011_20	Cyclospora cayetanensis
CNE10691_20	Cyclospora cayetanensis
CNE10751_20	Cyclospora cayetanensis
CIA10051_19	Cyclospora cayetanensis
CIA10101_19	Cyclospora cayetanensis
CIA10111_19	Cyclospora cayetanensis
CIA10121_19	Cyclospora cayetanensis
CIA10131_19	Cyclospora cayetanensis
CIA10161_19	Cyclospora cayetanensis
CIA10171_19	Cyclospora cayetanensis
CIA10181_19	Cyclospora cayetanensis
CIA10221_19	Cyclospora cayetanensis
CIA10241_19	Cyclospora cayetanensis
CIA10251_19	Cyclospora cayetanensis
CIA10281_19	Cyclospora cayetanensis
CIA10291_19	Cyclospora cayetanensis
S_MN005_18	Cyclospora cayetanensis
S_MN006_18	Cyclospora cayetanensis
S_MN012_18	Cyclospora cayetanensis
S_MN008_18	Cyclospora cayetanensis
S_MN010_18	Cyclospora cayetanensis
S_MN017_18	Cyclospora cayetanensis
C_IL001_18	Cyclospora cayetanensis
C_IL041_18	Cyclospora cayetanensis
C_IL219_18	Cyclospora cayetanensis
C_WI144_18	Cyclospora cayetanensis
C_WI185_18	Cyclospora cayetanensis
C_WI199_18	Cyclospora cayetanensis
C_WI205_18	Cyclospora cayetanensis
C_WI259_18	Cyclospora cayetanensis
CAZ10011_22	Cyclospora cayetanensis
CAZ10021_22	Cyclospora cayetanensis
CAZ10081_22	Cyclospora cayetanensis
CAZ10091_22	Cyclospora cayetanensis
CCA10031_22	Cyclospora cayetanensis
CCA10091_22	Cyclospora cayetanensis
CCA10181_22	Cyclospora cayetanensis
CCA10281_22	Cyclospora cayetanensis
CCT10011_22	Cyclospora cayetanensis
CCT10021_22	Cyclospora cayetanensis
CFL10051_22	Cyclospora cayetanensis
CFL10091_22	Cyclospora cayetanensis
CFL10101_20	Cyclospora cayetanensis
CFL10111_20	Cyclospora cayetanensis
CFL10161_22	Cyclospora cayetanensis
CFL10311_20	Cyclospora cayetanensis
CFL10341_22	Cyclospora cayetanensis
CFL10641_22	Cyclospora cayetanensis
CFL11431_22	Cyclospora cayetanensis
CFL11501_22	Cyclospora cayetanensis
CFL12611_22	Cyclospora cayetanensis
CFL12691_22	Cyclospora cayetanensis
CGA10051_20	Cyclospora cayetanensis
CGA10051_22	Cyclospora cayetanensis
CGA10111_22	Cyclospora cayetanensis
CGA10121_22	Cyclospora cayetanensis
CGA10151_22	Cyclospora cayetanensis
CGA10441_21	Cyclospora cayetanensis
CGA10671_22	Cyclospora cayetanensis
CGA10791_22	Cyclospora cayetanensis
CIA11091_20	Cyclospora cayetanensis
CIL10171_22	Cyclospora cayetanensis
CIL10181_22	Cyclospora cayetanensis
CIL10222_21	Cyclospora cayetanensis
CIL11151_20	Cyclospora cayetanensis
CIL11161_20	Cyclospora cayetanensis
CIL11363_18	Cyclospora cayetanensis
CIN10011_22	Cyclospora cayetanensis
CIN10041_22	Cyclospora cayetanensis
CIN10051_22	Cyclospora cayetanensis
CKS10051_20	Cyclospora cayetanensis
CMI10071_22	Cyclospora cayetanensis
CMI10131_22	Cyclospora cayetanensis
CMI10251_22	Cyclospora cayetanensis
CMI10321_22	Cyclospora cayetanensis
CMN10081_22	Cyclospora cayetanensis
CMN10111_22	Cyclospora cayetanensis
CNE10601_20	Cyclospora cayetanensis
CNE10631_20	Cyclospora cayetanensis
CUK10011_15	Cyclospora cayetanensis
CUK10021_16	Cyclospora cayetanensis
CUK10031_18	Cyclospora cayetanensis
CUK10051_18	Cyclospora cayetanensis
CUK10061_XX	Cyclospora cayetanensis
CUK10071_XX	Cyclospora cayetanensis
CUK10081_19	Cyclospora cayetanensis
CUK10151_16	Cyclospora cayetanensis
CUK10161_16	Cyclospora cayetanensis
CWI10151_19	Cyclospora cayetanensis
CWI10371_20	Cyclospora cayetanensis
ION10061_22	Cyclospora cayetanensis
ION10072_22	Cyclospora cayetanensis
ION10081_22	Cyclospora cayetanensis
ION10102_22	Cyclospora cayetanensis
ION10421_19	Cyclospora cayetanensis
ION10441_19	Cyclospora cayetanensis
IQC10091_22	Cyclospora cayetanensis
IQC10141_22	Cyclospora cayetanensis
IQC10301_22	Cyclospora cayetanensis
IQC10371_22	Cyclospora cayetanensis
IQC10391_22	Cyclospora cayetanensis
IQC10392_22	Cyclospora cayetanensis
IQC10461_22	Cyclospora cayetanensis
IQC10471_22	Cyclospora cayetanensis
S_NY038_18	Cyclospora cayetanensis
S_TX002_18	Cyclospora cayetanensis
S_TX009_18	Cyclospora cayetanensis
S_TX030_18	Cyclospora cayetanensis
S_TX031_18	Cyclospora cayetanensis
S_TX038_18	Cyclospora cayetanensis
S_TX048_18	Cyclospora cayetanensis
S_TX068_18	Cyclospora cayetanensis
S_TX085_18	Cyclospora cayetanensis
S_TX086_18	Cyclospora cayetanensis
S_TX109_18	Cyclospora cayetanensis
SNY10031_20	Cyclospora cayetanensis
SNY10041_19	Cyclospora cayetanensis
SNY10091_22	Cyclospora cayetanensis
SNY10121_19	Cyclospora cayetanensis
SNY10171_22	Cyclospora cayetanensis
SNY10211_22	Cyclospora cayetanensis
SNY10271_22	Cyclospora cayetanensis
SNY10281_22	Cyclospora cayetanensis
SNY10291_22	Cyclospora cayetanensis
SNY10311_20	Cyclospora cayetanensis
